gender,province,education,income_family,n
Female,Saskatchewan,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",32
Female,Saskatchewan,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",29
Female,Saskatchewan,"Technical, community college, CEGEP, College Classique","Less than $25,000",22
Male,Alberta,Above bachelor,"$100,000 to $ 124,999",7
Male,Alberta,Above bachelor,"$125,000 and more",36
Male,Alberta,Above bachelor,"$25,000 to $49,999",7
Male,Alberta,Above bachelor,"$50,000 to $74,999",11
Male,Alberta,Above bachelor,"$75,000 to $99,999",10
Male,Alberta,Above bachelor,"Less than $25,000",5
Male,Alberta,Bachelor's degree,"$100,000 to $ 124,999",14
Male,Alberta,Bachelor's degree,"$125,000 and more",54
Male,Alberta,Bachelor's degree,"$25,000 to $49,999",15
Male,Alberta,Bachelor's degree,"$50,000 to $74,999",22
Male,Alberta,Bachelor's degree,"$75,000 to $99,999",27
Male,Alberta,Bachelor's degree,"Less than $25,000",8
Male,Alberta,Below bachelor,"$100,000 to $ 124,999",4
Male,Alberta,Below bachelor,"$125,000 and more",4
Male,Alberta,Below bachelor,"$25,000 to $49,999",3
Male,Alberta,Below bachelor,"$50,000 to $74,999",5
Male,Alberta,Below bachelor,"$75,000 to $99,999",8
Male,Alberta,Below bachelor,"Less than $25,000",2
Male,Alberta,Below high school,"$100,000 to $ 124,999",9
Male,Alberta,Below high school,"$125,000 and more",12
Male,Alberta,Below high school,"$25,000 to $49,999",29
Male,Alberta,Below high school,"$50,000 to $74,999",20
Male,Alberta,Below high school,"$75,000 to $99,999",5
Male,Alberta,Below high school,"Less than $25,000",21
Male,Alberta,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",21
Male,Alberta,High school diploma or a high school equivalency certificate,"$125,000 and more",64
Male,Alberta,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",27
Male,Alberta,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",40
Male,Alberta,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",28
Male,Alberta,High school diploma or a high school equivalency certificate,"Less than $25,000",24
Male,Alberta,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",31
Male,Alberta,"Technical, community college, CEGEP, College Classique","$125,000 and more",91
Male,Alberta,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",35
Male,Alberta,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",49
Male,Alberta,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",35
Male,Alberta,"Technical, community college, CEGEP, College Classique","Less than $25,000",17
Male,British Columbia,Above bachelor,"$100,000 to $ 124,999",16
Male,British Columbia,Above bachelor,"$125,000 and more",53
Male,British Columbia,Above bachelor,"$25,000 to $49,999",12
Male,British Columbia,Above bachelor,"$50,000 to $74,999",7
Male,British Columbia,Above bachelor,"$75,000 to $99,999",14
Male,British Columbia,Above bachelor,"Less than $25,000",9
Male,British Columbia,Bachelor's degree,"$100,000 to $ 124,999",29
Male,British Columbia,Bachelor's degree,"$125,000 and more",80
Male,British Columbia,Bachelor's degree,"$25,000 to $49,999",34
Male,British Columbia,Bachelor's degree,"$50,000 to $74,999",40
Male,British Columbia,Bachelor's degree,"$75,000 to $99,999",36
Male,British Columbia,Bachelor's degree,"Less than $25,000",13
Male,British Columbia,Below bachelor,"$100,000 to $ 124,999",5
Male,British Columbia,Below bachelor,"$125,000 and more",18
Male,British Columbia,Below bachelor,"$25,000 to $49,999",6
Male,British Columbia,Below bachelor,"$50,000 to $74,999",11
Male,British Columbia,Below bachelor,"$75,000 to $99,999",10
Male,British Columbia,Below bachelor,"Less than $25,000",4
Male,British Columbia,Below high school,"$100,000 to $ 124,999",8
Male,British Columbia,Below high school,"$125,000 and more",23
